label,run,name,ks_from_visibility,ks,te,re,best_value
15,ks_sweep_20260224_072942,ks_01,False,15.0,0.4514521466904016,1.0256005578967764,1.477052704587178
20,ks_sweep_20260224_084714,ks_01,False,20.0,0.22411303670936575,0.8480265100292042,1.07213954673857
30,ks_sweep_20260224_084714,ks_02,False,30.0,0.5797361211757105,1.5127549352907528,2.0924910564664634
40,ks_sweep_20260224_084714,ks_03,False,40.0,0.5042966849654876,1.0312244046421213,1.535521089607609
map,ks_sweep_20260224_072942,ks_from_visibility,True,57.151141555807406,0.7163799555573516,1.4355099293828844,2.151889884940236
