3.899028,292,284,
9.654941,285,278,
23.358273,271,176,
27.687685,257,168,
3.533577,324,313,
4.331873,133,122,
88.562477,135,86,
8.524750,274,251,
54.380379,172,87,
68.845688,145,103,
4.634683,225,201,
43.009029,188,76,
7.188428,284,249,
83.292465,130,99,
39.457981,220,152,
10.420676,216,161,
62.055264,176,0,
12.881510,284,221,
51.018600,172,115,
7.415344,287,272,
6.094839,356,335,
20.398014,295,177,
9.760680,234,176,
4.275534,318,292,
7.221674,265,241,
5.576997,274,240,
6.924669,282,267,
52.127468,170,70,
15.849882,236,147,
4.137632,184,166,
45.168758,185,93,
5.086578,271,268,
53.919071,175,116,
56.468819,171,141,
73.765266,151,83,
6.592700,239,190,
48.124939,176,138,
5.591211,251,231,
49.912098,207,0,
10.035110,193,156,
10.059755,278,230,
16.003731,310,203,
5.366698,219,197,
4.916694,238,225,
29.092262,240,155,
2.835590,271,264,
15.727242,288,209,
6.600459,225,191,
10.594479,202,142,
47.792892,204,106,
22.600029,283,182,
49.105175,179,127,
19.771872,293,193,
19.145691,275,145,
55.516968,239,0,
7.280982,288,272,
4.085715,314,303,
64.835518,183,0,
11.477958,237,166,
16.156250,320,196,
3.197084,314,306,
82.815765,205,0,
34.758430,204,86,
4.692688,193,156,
8.410411,174,173,
8.976012,306,283,
10.327921,206,124,
39.316879,203,130,
49.737957,185,127,
8.922313,278,253,
10.831327,228,152,
16.059723,244,149,
28.718184,243,154,
9.988083,208,142,
69.999519,163,89,
13.230438,273,221,
65.970306,160,58,
13.757939,219,128,
27.626951,255,163,
10.498612,268,237,
9.825031,168,149,
9.098957,188,173,
4.627958,260,243,
24.240160,254,148,
12.006791,171,139,
39.327324,204,136,
14.723937,323,218,
12.468673,250,158,
