base_step_scale,fov_schedule,ks,ks_from_visibility,ks_mode,ks_transition_deg,max_step_deg,min_step_deg,step_norm_mode,trajectory_jacobian_step,visibility_alpha_deg,te,re,vis_improvement
1.0,"90,60,30, 15",40.93328581559948,True,map,15.9,1.5,0.3,jacobian,0.1,15.0,0.3600592811576164,6.871335149955803,
1.4464450040889814,"30, 15",20.0,False,const20,,1.406576492532662,0.8970190824375498,points,0.42340551131886134,,0.36016656031247657,7.021829672887103,
2.8824345731694168,"30, 15",40.93328581559948,True,map,15.9,3.2146687157834246,1.8449851736413856,points,0.1331796792681028,15.0,0.3420518276032291,6.442919308272211,
0.7492367126418698,"90,60,30, 15",20.0,False,const20,,3.9064250132361487,0.6358996579982041,points,0.3225651232628973,,0.35604271561084166,6.548178092022788,
0.5609748539264829,"45,30,15",15.0,False,const15,,1.0181550574523452,0.5757757046805768,jacobian,0.377504784863845,,0.36380142139608423,7.086360635974137,
2.5901909485118453,"180,90,30,15",71.0,False,const71,,2.2006146665196864,0.716009732477554,jacobian,0.18312325223623294,,0.36943116389400693,7.21340361032646,
0.7528538640579163,15,20.0,False,const20,,3.276726982073461,1.8196046145133973,points,0.46475167150818697,,0.3600557041445145,7.080447803407509,
2.3085431584071454,"30, 15",40.93328581559948,True,map,15.9,3.004153310800272,1.1726224679118853,jacobian,0.40147042317245585,15.0,0.35059473902800364,6.566128873750511,
0.7796126532603826,"30, 15",71.0,False,const71,,2.981367132136014,1.145198026752716,points,0.30581573720450955,,0.3699234159749235,7.101258697528112,
1.879052224966606,15,15.0,False,const15,,3.421057758102697,0.8732284434599432,jacobian,0.1719278547498841,,0.35375726324027534,6.7227389161846425,
2.9940958197635026,"60,30,15",40.93328581559948,True,map,15.9,3.8043961543939084,1.9719600400337158,points,0.05177655882397819,15.0,0.33763797988064764,6.190144103410413,
2.7469881586531004,"60,30,15",40.93328581559948,True,map,15.9,3.980497870334265,1.9951040171117835,points,0.07021793671733711,15.0,0.3390335803495213,6.380281934416225,
