base_step_scale,fov_schedule,ks,ks_from_visibility,ks_mode,ks_transition_deg,max_step_deg,min_step_deg,step_norm_mode,trajectory_jacobian_step,visibility_alpha_deg,te,re
1.0,"90,60,30, 15",71.0,False,const71,,1.5,0.3,jacobian,0.1,,2.5278468002747974,20.424155187622173
2.8451481033005384,"45,30,15",20.0,False,const20,,1.7532316795178833,0.1333476023468294,jacobian,0.07035684461957056,,2.3384911194999685,20.270333709660946
2.4772068683142083,"45,30,15",40.93328581559948,True,map,15.9,1.282170030725991,1.1831104359746956,jacobian,0.2739629444941568,15.0,1.4808283199426815,10.679304646160285
1.538025623741875,"45,30,15",40.93328581559948,True,map,15.9,0.7946710306370903,0.675095546281062,points,0.2609997242627675,15.0,2.5508749674296194,21.285900808768915
1.508593022954142,"90,60,30, 15",71.0,False,const71,,2.7364639221884364,0.7556025338164133,jacobian,0.014575158389194785,,3.222273916278211,22.09292152667551
2.0291339926065715,15,40.93328581559948,True,map,15.9,1.1585769020430396,0.25855720278142447,points,0.23144949098921214,15.0,2.936587451809162,21.3523150273819
0.7253606360314249,"90,60,30, 15",40.93328581559948,True,map,15.9,1.3014580168617422,0.4450834553382912,jacobian,0.08660567139204688,15.0,2.867596552392424,20.36791309290924
0.4914592284723312,15,40.93328581559948,True,map,15.9,2.999605644273135,1.0406266772777462,points,0.2918193457563543,15.0,2.3539856179343013,20.723426248130643
3.336476640935782,"180,90,30,15",40.93328581559948,True,map,15.9,2.090499792104059,0.4808113959667407,points,0.2184708902743943,15.0,2.3837270113087805,21.01525221972868
0.9260667937186473,"45,30,15",71.0,False,const71,,1.687634550347168,0.20440212201853833,jacobian,0.02559670285989054,,3.8812802390873413,25.12906097561364
3.8647935371190645,"30, 15",15.0,False,const15,,2.11194162936907,1.1569681301801982,jacobian,0.17753870611196126,,3.2163173139776124,17.63153280311887
3.9893639848083002,"30, 15",15.0,False,const15,,2.200097341778459,1.1784888668691642,jacobian,0.17170962358674072,,2.8840810715364547,17.499707606972667
2.7665445022149155,"30, 15",15.0,False,const15,,2.398347726130969,0.9291649568531589,jacobian,0.15939151970307147,,3.0741337677253635,17.568060634065024
3.775474805895546,"60,30,15",15.0,False,const15,,2.1848461355370388,1.1853958126377093,jacobian,0.19320136282079242,,2.6970170976633385,19.202481898631202
3.012305705772689,"30, 15",20.0,False,const20,,2.4390420835888835,0.8759304298989327,jacobian,0.1312650321151767,,2.6706032725971456,18.437246092536686
2.3397736822626465,"180,90,30,15",15.0,False,const15,,1.8512843040413725,1.0224381825456783,jacobian,0.2913124305393307,,2.7078140474912824,18.70651217254521
3.49137043756684,"60,30,15",15.0,False,const15,,0.8950923987214605,0.8241746464480738,jacobian,0.24212052846605742,,2.7056054217836354,22.879917197169807
2.308353585456901,"45,30,15",20.0,False,const20,,2.4952015107469565,1.0216870845069874,jacobian,0.1373263394047301,,2.7655320884229653,19.206244893597432
1.7494867150072277,"30, 15",40.93328581559948,True,map,15.9,1.9255084195096344,1.195902800069376,points,0.20384606107910824,15.0,0.7718301315965764,5.901838395272893
1.6348561785660216,"30, 15",40.93328581559948,True,map,15.9,1.1667168913571966,0.5430989074885489,points,0.2629328047263285,15.0,2.99704200710896,20.59626507916417
1.9870740847938013,"45,30,15",40.93328581559948,True,map,15.9,1.5531120371000433,1.0657433726406056,points,0.2085999321657599,15.0,2.5370055857844447,21.818104819955757
